HDI_rank,Country,HDI_Value,Life_Expectancy,Expected_Schooling_Years,Mean_Schooling_Years,GNI_Per_Capita,GNI_HDI_Rank_Difference
1.0,Switzerland,0.967,84.3,16.6,13.9,69433.0,6.0
2.0,Norway,0.966,83.4,18.6,13.1,69190.0,6.0
3.0,Iceland,0.959,82.8,19.1,13.8,54688.0,16.0
5.0,Denmark,0.952,81.9,18.8,13.0,62019.0,6.0
5.0,Sweden,0.952,83.5,19.0,12.7,56996.0,10.0
7.0,Germany,0.95,81.0,17.3,14.3,55340.0,11.0
7.0,Ireland,0.95,82.7,19.1,11.7,87468.0,-3.0
9.0,Singapore,0.949,84.1,16.9,11.9,88761.0,-6.0
10.0,Australia,0.946,83.6,21.1,12.7,49257.0,14.0
10.0,Netherlands,0.946,82.5,18.6,12.6,57278.0,4.0
12.0,Belgium,0.942,82.3,18.9,12.5,53644.0,9.0
12.0,Finland,0.942,82.4,19.2,12.9,49522.0,11.0
12.0,Liechtenstein,0.942,84.7,15.5,12.4,146673.0,-11.0
15.0,United Kingdom,0.94,82.2,17.6,13.4,46624.0,13.0
16.0,New Zealand,0.939,83.0,19.7,12.9,43665.0,16.0
17.0,United Arab Emirates,0.937,79.2,17.2,12.8,74104.0,-11.0
18.0,Canada,0.935,82.8,16.0,13.9,48444.0,8.0
19.0,Korea (Republic of),0.929,84.0,16.5,12.6,46026.0,10.0
20.0,Luxembourg,0.927,82.6,14.2,13.0,78554.0,-15.0
20.0,United States,0.927,78.2,16.4,13.6,65565.0,-11.0
22.0,Austria,0.926,82.4,16.4,12.3,56530.0,-5.0
22.0,Slovenia,0.926,82.1,17.4,12.9,41587.0,13.0
24.0,Japan,0.92,84.8,15.5,12.7,43644.0,9.0
25.0,Israel,0.915,82.6,15.0,13.4,43588.0,9.0
25.0,Malta,0.915,83.7,15.9,12.2,44464.0,5.0
27.0,Spain,0.911,83.9,17.8,10.6,40043.0,10.0
28.0,France,0.91,83.2,16.0,11.7,47379.0,-1.0
29.0,Cyprus,0.907,81.9,16.2,12.4,40137.0,7.0
30.0,Italy,0.906,84.1,16.7,10.7,44284.0,1.0
31.0,Estonia,0.899,79.2,15.9,13.5,37152.0,9.0
32.0,Czechia,0.895,78.1,16.3,12.9,39945.0,6.0
33.0,Greece,0.893,80.6,20.0,11.4,31382.0,20.0
34.0,Bahrain,0.888,79.2,16.3,11.0,48731.0,-9.0
35.0,Andorra,0.884,83.6,12.8,11.6,54233.0,-15.0
36.0,Poland,0.881,77.0,15.9,13.2,35151.0,7.0
37.0,Latvia,0.879,75.9,16.6,13.3,32083.0,13.0
37.0,Lithuania,0.879,74.3,16.4,13.5,38131.0,2.0
39.0,Croatia,0.878,79.2,15.6,12.3,34324.0,5.0
40.0,Qatar,0.875,81.6,13.3,10.1,95944.0,-38.0
40.0,Saudi Arabia,0.875,77.9,15.2,11.3,50620.0,-18.0
42.0,Portugal,0.874,82.2,16.8,9.6,35315.0,0.0
43.0,San Marino,0.867,83.4,12.4,10.5,57687.0,-30.0
44.0,Chile,0.86,79.5,16.8,11.1,24431.0,15.0
45.0,Slovakia,0.855,75.3,14.7,13.0,32171.0,4.0
45.0,Türkiye,0.855,78.5,19.7,8.8,32834.0,2.0
47.0,Hungary,0.851,75.0,15.1,12.2,34196.0,-2.0
48.0,Argentina,0.849,76.1,19.0,11.1,22048.0,17.0
49.0,Kuwait,0.847,80.3,15.7,7.4,56729.0,-33.0
